"RT","SERIALNO","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","CITWP","COW","ENG","FER","GCL","GCM","GCR","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","VPS","WAOB","Class"
"P","2023HU1184355",1,2,503,1,25,1019518,37,1,NA,1,NA,NA,2,NA,NA,0,1,2,1,2,2,2,2,0,15,1,1,2,1,2,2,1,2,1988,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,23,0,1,0,32000,300000,45,52,1,NA,1,50,999,NA,1,NA,1,3600,NA,1,1,8191,82,40,NA,NA,NA,1,1,NA,0,3100,NA,300000,332000,36,501,500,25,1,1,3,1,1000,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,NA,1,"No"
"P","2023HU0350621",1,1,402,1,25,1019518,196,2,NA,NA,1,NA,2,NA,NA,0,2,2,1,2,2,2,2,0,NA,NA,NA,1,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,1,NA,13,0,1,0,11200,0,NA,NA,2,1969,1,261,999,3,NA,NA,6,NA,NA,1,3,NA,NA,NA,1200,400,25,6,1,NA,0,NA,NA,0,11200,72,137,NA,NA,2,1,2,9,9000,29,0,0,0,0,2,0,1,1,0,NA,NA,NA,NA,NA,2,"Yes"
"P","2023HU0226988",1,1,701,1,25,1019518,53,1,NA,NA,NA,NA,2,NA,NA,2,2,1,1,2,2,2,2,40500,NA,NA,NA,2,1,2,2,1,2,1959,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,5300,1,NA,16,0,1,0,19200,0,NA,NA,2,NA,2,22,94,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,0,65000,25,479,NA,NA,1,1,4,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"Yes"
"P","2023GQ0074347",1,1,611,1,25,1019518,19,1,NA,2,NA,2,NA,NA,NA,0,1,2,2,2,2,2,2,100,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,3,15,16,0,2,0,0,6100,20,20,NA,NA,4,999,999,NA,NA,NA,6,NA,NA,1,1,7870,NA,NA,NA,NA,NA,6,1,NA,NA,2545,NA,6100,6200,39,NA,NA,NA,1,2,3,2,3000,2,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0596946",1,2,401,1,25,1019518,99,1,NA,1,NA,NA,2,NA,NA,0,2,2,1,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1974,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,1,NA,16,0,2,0,9600,0,NA,NA,2,NA,1,50,999,NA,NA,NA,6,NA,NA,1,1,4871,NA,NA,NA,NA,NA,1,1,NA,0,5120,4,0,9600,25,203,NA,NA,2,1,1,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0594692",1,3,1102,1,25,1019518,169,1,NA,1,NA,2,NA,NA,NA,0,1,2,2,2,2,2,2,0,25,10,1,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,16,0,2,0,0,35000,32,52,1,NA,1,50,999,NA,6,NA,1,NA,NA,1,1,8680,99,55,NA,NA,NA,6,1,NA,0,4110,4,35000,35000,25,501,900,25,1,2,2,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU1009831",1,1,1003,1,25,1019518,106,1,NA,2,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,30,1,1,2,1,2,2,1,2,1994,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,22,0,2,0,0,140000,40,52,1,NA,1,84,999,NA,1,NA,1,6207,NA,1,1,7570,88,43,NA,NA,NA,1,1,NA,0,120,4,140000,140000,25,501,1000,25,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023GQ0153533",1,1,507,1,25,1019518,21,1,NA,NA,NA,NA,2,NA,NA,0,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,16,0,1,0,0,0,NA,NA,NA,NA,4,999,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,0,0,25,NA,NA,NA,2,1,3,1,1000,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,"Yes"
"P","2023HU0478200",1,1,603,1,25,1019518,64,1,NA,1,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,3000,5,1,1,2,3,2,2,2,2,1993,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,1,NA,21,0,1,0,0,200000,50,52,1,NA,1,94,999,NA,1,NA,1,6203,NA,1,1,3365,95,55,NA,NA,NA,4,1,NA,0,5240,NA,200000,203000,25,501,600,25,1,2,2,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023HU1002162",1,1,904,1,25,1019518,65,4,2013,6,3,2,2,NA,NA,2,2,1,2,2,2,2,2,0,60,3,1,1,1,2,2,1,2,2012,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,0,0,0,1,NA,17,30000,2,0,0,0,60,52,1,2008,1,795,999,7,3,NA,1,NA,NA,1,1,8680,136,82,2000,900,25,1,2,NA,0,310,3,30000,30000,243,112,700,25,1,2,1,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,4,"No"
