"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
2,"905",327,"1","0","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","2","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","4","0","5","25","6","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","2","1","1","No"
1,"1103",55,"3","1","1","0","2","2","2","1","1","2","1",1,"1","1","5","0","0","0","0","1","3","3","3","1","16","1","2","2","5","1","1","510","999","2","1","1","8970","43","1069","6","1","0","4500","0","4","5","408","4","900","25","1","1","4","8","8000","15","0","0","1","1","0","0","0","0","6","No"
1,"401",101,"1","1","0","0","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","1","19","2","2","3","5","1","2","51","88","0","1","1","7770","55","0","1","1","0","5240","4","4","4","25","6","400","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"503",71,"5","1","1","2","0","0","1","2","2","2","3",1,"1","1","1","2","2","1","2","3","3","3","3","3","21","2","3","2","5","1","1","152","999","8","1","1","8660","61","1278","1","2","0","5300","4","5","5","154","6","600","25","1","2","4","1","1000","1","0","0","1","0","1","0","1","2","5","No"
2,"606",53,"5","1","1","0","2","0","1","2","2","2","4",0,"4","1","1","2","2","1","2","1","3","3","3","1","22","1","4","2","5","1","4","999","999","7","0","1","3390","49","1350","1","2","0","2600","0","5","6","210","6","800","25","1","2","2","6","4015","4","1","0","1","0","0","0","1","2","4","No"
2,"803",84,"1","1","0","2","0","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","1","3","3","3","1","21","2","3","2","5","1","1","142","999","0","0","1","6871","0","0","6","1","0","120","4","5","5","50","5","800","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"505",65,"1","1","1","0","0","2","2","1","2","2","0",0,"0","1","5","0","0","0","0","3","3","3","3","3","19","1","1","2","2","0","4","999","999","0","0","6","8590","0","1170","6","1","-1","4435","0","3","3","25","0","0","0","1","2","3","1","1000","1","0","0","1","0","1","-1","0","0","1","No"
3,"701",49,"4","1","1","0","0","0","1","2","2","2","0",0,"0","1","5","0","0","0","0","1","3","3","3","3","12","1","1","1","3","0","4","999","999","8","0","3","8590","0","4500","6","2","0","4655","0","3","3","130","5","0","0","1","2","1","1","1000","1","0","0","1","0","1","1","0","0","5","No"
1,"607",76,"1","4","0","0","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","2","51","50","0","0","6","9480","0","0","1","1","0","5740","4","0","5","25","5","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1104",82,"4","7","1","0","2","0","1","2","2","2","3",1,"1","1","3","2","2","1","2","1","3","3","3","1","24","1","5","2","5","1","4","999","999","3","1","1","7270","31","1675","4","2","0","2100","0","5","6","138","6","1100","25","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","5","No"
